utc_ts,game,viewers
2025-06-21T19:29:09,GODDESS OF VICTORY: NIKKE,7794
2025-06-21T19:29:09,Relic Guardian,7886
2025-06-21T19:29:09,Star Citizen,7171
2025-06-21T19:29:09,Retro,7007
2025-06-21T19:29:09,ELDEN RING,6971
2025-06-21T19:29:09,Death Stranding: Director's Cut,6588
2025-06-21T19:29:09,DayZ,6461
2025-06-21T19:29:09,Destiny 2,6297
2025-06-21T19:29:09,Parcel Simulator,6190
2025-06-21T19:29:09,Chess,6193
2025-06-21T19:29:09,Call of Duty,6062
2025-06-21T19:29:09,Gartic Phone,6076
2025-06-21T19:29:09,NBA 2K25,6058
2025-06-21T19:29:09,R.E.P.O.,5803
2025-06-21T19:29:09,Rocket League,5620
2025-06-21T19:29:09,Trackmania,5552
2025-06-21T19:29:09,Lies of P,5030
2025-06-21T19:29:09,Red Dead Redemption 2,5450
2025-06-21T19:29:09,Albion Online,5436
2025-06-21T19:29:09,Call of Duty: Black Ops 6,5407
2025-06-21T19:29:09,iRacing,5385
2025-06-21T19:29:09,Mobile Legends: Bang Bang,5443
2025-06-21T19:29:09,Heroes of Might and Magic III: The Restoration of Erathia,5301
2025-06-21T19:29:09,Always On,5229
2025-06-21T19:29:09,Slime Rancher,5144
2025-06-21T19:29:09,Pokémon Scarlet/Violet,5028
2025-06-21T19:29:09,"Animals, Aquariums, and Zoos",4994
2025-06-21T19:29:09,FINAL FANTASY XIV ONLINE,4896
2025-06-21T19:29:09,StarCraft II,4859
2025-06-21T19:29:09,Etheria: Restart,4812
2025-06-21T19:29:09,ARK: Survival Ascended,4754
2025-06-21T19:29:09,Garry's Mod,4654
2025-06-21T19:29:09,Arena Breakout: Infinite,4445
2025-06-21T19:29:09,Still Wakes the Deep,4392
2025-06-21T19:29:09,Black Desert,4292
2025-06-21T19:29:09,"Pools, Hot Tubs, and Beaches",4462
2025-06-21T19:29:09,Age of Empires II,4237
2025-06-21T19:29:09,RAIDOU Remastered: The Mystery of the Soulless Army,4197
2025-06-21T19:29:09,Crypto,4003
2025-06-21T19:29:09,Stellar Blade,4084
2025-06-21T19:29:09,Lost Ark,3775
2025-06-21T19:29:09,Zenless Zone Zero,3801
2025-06-21T19:29:09,Talk Shows & Podcasts,3818
2025-06-21T19:29:19,Counter-Strike,622644
2025-06-21T19:29:19,Just Chatting,592593
2025-06-21T19:29:19,VALORANT,313931
2025-06-21T19:29:19,IRL,111449
2025-06-21T19:29:19,Grand Theft Auto V,110456
2025-06-21T19:29:19,League of Legends,103773
2025-06-21T19:29:19,Call of Duty: Warzone,70244
2025-06-21T19:29:19,Dota 2,67015
2025-06-21T19:29:19,Path of Exile,60250
2025-06-21T19:29:19,Fortnite,59599
2025-06-21T19:29:19,The Blood of Dawnwalker,58362
2025-06-21T19:29:19,PEAK,44057
2025-06-21T19:29:19,Marvel Rivals,37620
2025-06-21T19:29:19,Overwatch 2,36451
2025-06-21T19:29:19,Minecraft,35416
2025-06-21T19:29:19,World of Warcraft,34257
2025-06-21T19:29:19,Special Events,31393
2025-06-21T19:29:19,Dead by Daylight,30410
2025-06-21T19:29:19,Borderlands 4,28607
2025-06-21T19:29:19,REMATCH,24998
2025-06-21T19:29:19,EA Sports FC 25,24705
2025-06-21T19:29:19,World of Tanks,22398
2025-06-21T19:29:19,DJs,22055
2025-06-21T19:29:19,Hearthstone,20128
2025-06-21T19:29:19,SCUM,16085
2025-06-21T19:29:19,Tom Clancy's Rainbow Six Siege X,16021
2025-06-21T19:29:19,Virtual Casino,16002
2025-06-21T19:29:19,Mario Kart World,15468
2025-06-21T19:29:19,Elden Ring: Nightreign,15036
2025-06-21T19:29:19,Dune: Awakening,14925
2025-06-21T19:29:19,Fall Guys,14541
2025-06-21T19:29:19,HELLDIVERS 2,14497
2025-06-21T19:29:19,PUBG: BATTLEGROUNDS,14365
2025-06-21T19:29:19,Hunt: Showdown 1896,13340
2025-06-21T19:29:19,Shadowverse: Worlds Beyond,13288
2025-06-21T19:29:19,Tibia,13154
2025-06-21T19:29:19,Apex Legends,12777
2025-06-21T19:29:19,Brawl Stars,12561
2025-06-21T19:29:19,ROBLOX,12398
2025-06-21T19:29:19,Rust,12300
2025-06-21T19:29:19,Chrono Odyssey,12218
2025-06-21T19:29:19,Magic: The Gathering,11955
2025-06-21T19:29:19,Sports,11414
2025-06-21T19:29:19,Sea of Thieves,11145
2025-06-21T19:29:19,Music,10691
2025-06-21T19:29:19,Old School RuneScape,10157
2025-06-21T19:29:19,Escape from Tarkov,10139
2025-06-21T19:29:19,Genshin Impact,9693
2025-06-21T19:29:19,Grand Theft Auto IV,9695
2025-06-21T19:29:19,Art,9615
2025-06-21T19:29:19,Clair Obscur: Expedition 33,8822
2025-06-21T19:29:19,Garena Free Fire,8611
2025-06-21T19:29:19,ASMR,8578
2025-06-21T19:29:19,Slots,8046
2025-06-21T19:29:19,Clash Royale,8326
2025-06-21T19:29:19,Street Fighter 6,8160
2025-06-21T19:29:19,Teamfight Tactics,8007
2025-06-21T19:29:19,Relic Guardian,7886
2025-06-21T19:29:19,GODDESS OF VICTORY: NIKKE,7794
2025-06-21T19:29:19,Star Citizen,7171
2025-06-21T19:29:19,Retro,7007
2025-06-21T19:29:19,ELDEN RING,6945
2025-06-21T19:29:19,Death Stranding: Director's Cut,6588
2025-06-21T19:29:19,DayZ,6375
2025-06-21T19:29:19,Destiny 2,6297
2025-06-21T19:29:19,Chess,6149
2025-06-21T19:29:19,Parcel Simulator,6190
2025-06-21T19:29:19,Gartic Phone,6076
2025-06-21T19:29:19,Call of Duty,6044
2025-06-21T19:29:19,NBA 2K25,6048
2025-06-21T19:29:19,R.E.P.O.,5798
2025-06-21T19:29:19,Rocket League,5591
2025-06-21T19:29:19,Trackmania,5548
2025-06-21T19:29:19,Red Dead Redemption 2,5449
2025-06-21T19:29:19,Mobile Legends: Bang Bang,5443
2025-06-21T19:29:19,Albion Online,5436
2025-06-21T19:29:19,Call of Duty: Black Ops 6,5400
2025-06-21T19:29:19,iRacing,5385
2025-06-21T19:29:19,Heroes of Might and Magic III: The Restoration of Erathia,5301
2025-06-21T19:29:19,Always On,5229
2025-06-21T19:29:19,Slime Rancher,5144
2025-06-21T19:29:19,Lies of P,5010
2025-06-21T19:29:19,Pokémon Scarlet/Violet,5028
2025-06-21T19:29:19,"Animals, Aquariums, and Zoos",4993
2025-06-21T19:29:19,FINAL FANTASY XIV ONLINE,4895
2025-06-21T19:29:19,StarCraft II,4859
2025-06-21T19:29:19,Etheria: Restart,4812
2025-06-21T19:29:19,ARK: Survival Ascended,4754
2025-06-21T19:29:19,Garry's Mod,4654
2025-06-21T19:29:19,"Pools, Hot Tubs, and Beaches",4462
2025-06-21T19:29:19,Arena Breakout: Infinite,4445
2025-06-21T19:29:19,Still Wakes the Deep,4392
2025-06-21T19:29:19,Black Desert,4292
2025-06-21T19:29:19,RAIDOU Remastered: The Mystery of the Soulless Army,4197
2025-06-21T19:29:19,Age of Empires II,4237
2025-06-21T19:29:19,Stellar Blade,4084
2025-06-21T19:29:19,Crypto,4003
2025-06-21T19:29:19,Halo Infinite,3867
2025-06-21T19:29:19,Talk Shows & Podcasts,3818
2025-06-21T19:29:19,Zenless Zone Zero,3801
2025-06-21T19:29:30,Counter-Strike,624159
2025-06-21T19:29:30,Just Chatting,592817
2025-06-21T19:29:30,VALORANT,314120
2025-06-21T19:29:30,IRL,111514
2025-06-21T19:29:30,Grand Theft Auto V,110841
2025-06-21T19:29:30,League of Legends,104393
2025-06-21T19:29:30,Call of Duty: Warzone,69494
2025-06-21T19:29:30,Dota 2,66167
2025-06-21T19:29:30,Path of Exile,60123
2025-06-21T19:29:30,Fortnite,59344
